id,En_symbol,part of,math,math formula,Tex formula,unit of measure,vars,Ro description,En description,En wiki
,,m,R,,,,,modulul rezultantei,resultant module,
,,m,"F_1, F_2",,,,,modulele forţelor paralele,modules of parallel forces,
,,m,"l_1, l_2",,,,,segmentele cuprinse între punctul de aplicaţie al rezultantei şi punctele de aplicaţie ale forţelor F1 şi F2,segments between the resultant point of application and application points of the forces F1 and F2,
,,a,L,r * p,rp,kg * m^2 * s^{-1},,Condiţia de cuantificare a momentului cinetic al electronului după Bohr,condition of quantify the electron's angular momentum after Bohr,https://en.wikipedia.org/wiki/Bohr_model
,,a,L,n * (bar h) / {2 * pi},n\frac h {2\pi},kg * m^2 * s^{-1},,Condiţia de cuantificare a momentului cinetic al electronului după Bohr,condition of quantify the electron's angular momentum after Bohr,https://en.wikipedia.org/wiki/Bohr_model
,,a,r,,,,,raza orbitei staţionare circulare pe care se mişcă electronul în atom,the radius of the circular stationary orbit on which the electron moves in atom,
,,a,p,,,,,impulsul electronului pe orbita circulară,the impulse of the electron on circular orbit,https://en.wikipedia.org/wiki/Electron
,,a,h,,,,,constanta lui Planck,Planck's constant,https://en.wikipedia.org/wiki/Planck_constant
,,"o,c",lambda,(2 * d * sin(theta)) / n,,m,,Condiţia de difracţie după Bragg,diffraction condition after Bragg ,https://en.wikipedia.org/wiki/Diffraction#Bragg_diffraction
,,"o,c",d,,,,,distanţa dintre planele reticulare dintr-un cristal,distance between reticular planes from a crystal,
,,"o,c",theta,,,,,unghi Bragg format de fasciculul incident cu planul reticular din cristal pentru care are loc reflexia,Bragg angle formed by the incident fascicle with the reticular plan from the crystal thru which the reflexion occur ,https://en.wikipedia.org/wiki/Diffraction#Bragg_diffraction
,,"o,c",lambda,,,,,"lungimea de undă a radiaţiei incidente (fotoni, neutroni, electroni|)","the wavelength of the incident radiation (photons, neutrons, electrons |)",https://en.wikipedia.org/wiki/Radiation
,,"o,c",n,"1,2,3,...,oo",,1,,ordinul reflexiei,the reflexion's order,https://en.wikipedia.org/wiki/Reflection_(physics)
,,m,vec R,sum_{i=1 } ^{n} vec F_i,\sum_{i=1 } ^{n} \vec F_i,N,,Condiţia de echilibru la translaţie a unui punct material sau solid rigid,translational equilibrium condition at a point material rigid or solid ,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec R,vec 0,\vec 0,N,,Condiţia de echilibru la translaţie a unui punct material sau solid rigid,translational equilibrium condition at a point material rigid or solid ,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec R,,,,,rezultanta forţelor,the resultant of the forces,https://en.wikipedia.org/wiki/Force
,,m,"F_1,.., F_n",,,,,forţele aplicate unui punct material (solid rigid),resultant moment from equilibrium condition at rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec M,vec M_1 + vec M_2 + ... + vec M_n,,,,momentul rezultant din condiţia de echilibru la rotaţie a unui solid rigid,resultant moment from equilibrium condition at rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec M,vec 0,,,,momentul rezultant din condiţia de echilibru la rotaţie a unui solid rigid,resultant moment from equilibrium condition at rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec M,sum_{i=1 } ^{n} vec M_i,,,,momentul rezultant din condiţia de echilibru la rotaţie a unui solid rigid,resultant moment from equilibrium condition at rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,"vec M_1,...,vec M_n",,,,,momentele forţelor aplicate solidului rigid,forces moments applied to the rigid solid,https://en.wikipedia.org/wiki/Force
,,m,vec R,vec F_1 +vec F_2 +...+vec F_n,\vec F_1 +\vec F_2 +...+\vec F_n,N,,Condiţia de echilibru la translaţie şi rotaţie a unui solid rigid,equilibrium condition to translation and rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec R,vec 0,\vec 0,N,,Condiţia de echilibru la translaţie şi rotaţie a unui solid rigid,equilibrium condition to translation and rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec M,vec M_1 +vec M_2 +...+vec M_n,\vec M_1 +\vec M_2 +...+\vec M_n,N * m,,Condiţia de echilibru la translaţie şi rotaţie a unui solid rigid,equilibrium condition to translation and rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec M,vec 0,\vec 0,N * m,,Condiţia de echilibru la translaţie şi rotaţie a unui solid rigid,equilibrium condition to translation and rotation of a rigid solid,https://en.wikipedia.org/wiki/Equilibrant_Force
,,m,vec R,,,,,rezultanta forţelor,the resultant of the forces,https://en.wikipedia.org/wiki/Force
,,m,"vec F_1,...,vec F_n",,,,,forţele aplicate solidului rigid,the forces applied to the rigid solid,https://en.wikipedia.org/wiki/Force
,,m,vec M,,,,,momentul rezultant,resulting moment,
,,m,"vec M_1,...,vec M_n",,,,,momentele forţelor aplicate solidului rigid,the moments of the forces applied to the rigid solid,https://en.wikipedia.org/wiki/Force
,,m,F_{cp},F_e,F_e,N,,Condiţia de echilibru a forţelor în modelul planetar al atomului de hidrogen după modelul Rutherford-Bohr,the condition of the equilibrium of the forces in planetary model of the atom of hydrogen after the model Rutherford-Bohr ,
,,m,F_e,{e^2}/{4 * pi * epsilon_0 * r^2},\frac {e^2}{4\pi \epsilon_0r^2},N,,forţa electrostatică de atracţie intre electron şi nucleu,the electrostatic force of attraction between the electron and nucleus,
,,m,F_{cp},{m_0 * v^2}/{r},\frac {m_0v^2}{r},N,,forţa centripetă ce acţionează asupra electronului,centripetal force acting on the electron,https://en.wikipedia.org/wiki/Centripetal_force
,,m,m_0,,,,,masa electronului (de repaus),mass of the electron (rest),https://en.wikipedia.org/wiki/Mass
,,m,v,,,,,viteza electronului pe orbita circulară,velocity of the electron on circular orbit,https://en.wikipedia.org/wiki/Velocity
,,m,r,,,,,raza orbitei circulare,radius circular orbit,https://en.wikipedia.org/wiki/Orbit#Orbital_energies_and_orbit_shapes
,,m,e,,,,,sarcina electrică elementară,elementary electric charge,https://en.wikipedia.org/wiki/Electric_charge
,,m,e_0,,,,,permitivitatea electrică a vidului,electrical permittivity of vacuum,https://en.wikipedia.org/wiki/Permittivity
,,"o,m,r",(delta),2 * k * lambda/2,2k\frac \lambda 2 n\delta \quad | \quad k = 0 ; \pm1; \pm2; ...,m,,Condiţia de maxim de interferenţă,the condition of maximum interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",,,,,,Condiţia de maxim de interferenţă,the condition of maximum interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",delta,,,,,diferenţa de drum geometric,geometric path difference,
,,"o,m,r",(delta),n * delta,,,,diferenţa de drum optic,optical path difference,
,,"o,m,r",lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,"o,m,r",k,k = 0 ; pm1; pm2; ...,k = 0 ; \pm 1; \pm 2; ...,,,ordinul de interferenţă,order of interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",n,,,,,indice de refracţie,refraction index,https://en.wikipedia.org/wiki/Refraction
,,"o,m,r",(delta),(2 * k + 1)* lambda/2,(2k+1)\frac \lambda 2 \quad | \quad k = 0 ; \pm1; \pm2; ...,m,,Condiţia de minim de interferenţă,the condition of minimum interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",delta,,,,,diferenţa de drum geometric,geometric path difference,
,,"o,m,r",(delta),,,,,diferenţa de drum optic,optical path difference,
,,"o,m,r",lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",k,k = 0 ; pm1; pm2; ...,k = 0 ; \pm 1; \pm 2; ...,,,ordinul de interferenţă,order of interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation)
,,"o,m,r",n,,,,,indice de refracţie,refraction index,https://en.wikipedia.org/wiki/Refraction
,,"o,m,r",x_max,(2 * k - 1) * lambda / 4,(2 * k - 1) * \lambda / 4,,,coordonata punctului de amplitudine maximă din condiţia de maxim de interferenţa pentru unde staţionare ,coordinated point of maximum amplitude of the interference maximum condition for standing waves ,
,,"o,m,r",lambda,,,,,lungimea de undă a radiaţiei  ,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,"o,m ",x_min,2 * k * lambda / 4,,,,coordonata punctului de amplitudine minimă din condiţia de minim de intererenţa pentru unde staţionare (noduri),coordinated point of minimum amplitude of the interference minimum condition for standing waves (knots),
,,"o,m ",x_0,,,,,coordonata punctului de amplitudine zero,coordinator of the point of zero amplitude,https://en.wikipedia.org/wiki/Amplitude
,,"o,m ",lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,o,lambda,(2 * n * d * cos(r) + lambda/2) / k,(2 * n * d * \cos(r) + \lambda/2) / k,,,"Condiţia de maxim de interferenţă la lama cu feţe plan-paralele (incidenţa oblică, unghiul i = 0)","the condition of maximum interference to the blade with plan-parallel faces (oblique incidence, i angle = 0)",
,,o,n,,,,,indicele de refracţie al lamei,the refractive index of the blade,https://en.wikipedia.org/wiki/Refractive_index
,,o,d,,,,,grosimea lamei,blade thickness,
,,o,r,,,,,unghiul de refracţie,angle of refraction,https://en.wikipedia.org/wiki/Refraction
,,o,lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,o,cond,k * lambda,k \lambda \quad | \quad k = 0 ; 1; 2; ...,m,,"Condiţia de maxim de interferenţă la lama cu feţe plan-paralele (incidenţa oblică, unghiul i = 0)","the condition of maximum interference to the blade with plan-parallel faces (oblique incidence, i angle = 0)",
,,o,cond,2 * n * d * cos(r) + lambda / 2,,m,,"Condiţia de maxim de interferenţă la lama cu feţe plan-paralele (incidenţa oblică, unghiul i = 0)","the condition of maximum interference to the blade with plan-parallel faces (oblique incidence, i angle = 0)",
,,o,n,,,,,indicele de refracţie al lamei,the refractive index of the blade,https://en.wikipedia.org/wiki/Refractive_index
,,o,d,,,,,grosimea lamei,blade thickness,
,,o,lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,o,2 * n * d_k+ lambda / 2= k * lambda \quad | \quad k,k * lambda,k\lambda \quad | \quad k = 0 ; 1; 2; ...,m,,Condiţia de maxim de interferenţă la pana optică,the condition of maximum interference at optical wedge,
,,o,d_{k+1} – d_k,alpha * i,\alpha i,m,,Condiţia de maxim de interferenţă la pana optică,the condition of maximum interference at optical wedge,
,,o,n,,,,,indicele de refracţie al penei optice,the refractive index of the optical wedge,https://en.wikipedia.org/wiki/Refractive_index
,,o,d_k,,,,,o grosime oarecare a penei pentru care se formează maximul de interferenţă de ordinul k,a certain thickness of the wedge which is formed by the interference maximum of the order of k  ,
,,o,lambda,,,,,lungimea de undă a radiaţiei,the wavelength of the radiation,https://en.wikipedia.org/wiki/Radiation
,,o,alpha,,,,,unghiul penei optice,optical wedge angle,https://en.wikipedia.org/wiki/Wedge_prism
,,o,i,,,,,interfranja,interfrange,
,,e,sigma,e(p * mu_p + n * mu_n),e(p\mu_p + n\mu_n),Omega^{-1} * m^{-1},,Conductivitatea unui semiconductor,the conductivity of a semiconductor,https://en.wikipedia.org/wiki/Electrical_resistivity_and_conductivity
,,e,e,,,,,sarcina electrică elementară,elementary electric charge,https://en.wikipedia.org/wiki/Elementary_charge
,,e,p,,,,,concentraţia de goluri,goals concentration,https://en.wikipedia.org/wiki/Concentration
,,e,n,,,,,concentraţia de electroni,electron concentration,https://en.wikipedia.org/wiki/Concentration
,,e,mu_p,,,,,mobilitatea golurilor,goals mobility,https://en.wikipedia.org/wiki/Electrical_mobility
,,e,mu_n,,,,,mobilitatea electronilor,electron mobility,https://en.wikipedia.org/wiki/Electron_mobility
,,"o,c,r",a,{n * lambda}/{sqrt(2) * sin(theta)},"\frac {n\lambda}{\sqrt 2 \sin \theta} \quad | \quad n = 1,2,3,...",m,,Constanta reţelei cristaline determinată prin difracţia razelor X (reţea cubică simplă),crystal net constant determined by x-ray diffraction (simple cubic net)   ,
,,"o,c,r",a,,,,,dimensiunea celulei unitate,unit cell size,
,,"o,c,r",lambda,,,,,lungimea de undă a razelor X,X-ray wavelength,https://en.wikipedia.org/wiki/X-ray
,,"o,c,r",theta,,,,,unghiul lui Bragg format de fasciculul incident cu planul reticular,Bragg's angle formed by the incident beam reticular plane,https://en.wikipedia.org/wiki/Bragg%27s_law
,,"o,c,r",n,"1,2,3,...",,,,rangul,rank,
,,t,R,{p_0 * V_0 }/{T_0},\frac {p_0 V_0 } {T_0},J * mol^{-1} * K^{-1},,Constanta universală a gazelor perfecte,universal perfect gas constant ,https://en.wikipedia.org/wiki/Gas_constant
,,t,R,8.3144598(48),8.3144598(48),J * mol^{-1} * K^{-1},,Constanta universală a gazelor perfecte,universal perfect gas constant ,https://en.wikipedia.org/wiki/Gas_constant
,,t,p_0,,101325,N * m^{-2},,presiunea atmosferică normală,normal atmospheric pressure,https://en.wikipedia.org/wiki/Atmospheric_pressure
,,t,V_0,,22.42,l * mol^{-1},,volum molar în condiţii normale de presiune şi temperatură,the molar volume under normal conditions of pressure and temperature,
,,t,T_0,,273.15,K,,temperatură normală,normal temperature,https://en.wikipedia.org/wiki/Molar_volume
,,m,l,l_0 * sqrt(1 - v^2/c^2),l_0 * \sqrt(1 - v^2/c^2),m,,Contractarea lungimii corpurilor în teoria relativităţii restrânse,contracting of the length of the bodies in the theorem of limited relativity ,https://en.wikipedia.org/wiki/Theory_of_relativity
,,m,l,,,,,"lungimea corpurilor se „contractă"" pe direcţia mişcării (sistemul SI)","length of the bodies is ""shrinking"" in the direction of movement (SI system)",
,,m,l_0,,,,,lungimea maximă a corpului în sistemul de referinţă propriu (S'I'),the maximum length of the body in his own reference system (S'I'),
,,m,v,,,,,viteza cu care se deplasează S'I' fată de SI,the velocity moving  S'I' as against SI,https://en.wikipedia.org/wiki/Velocity
,,o,C,1/f,1/f,m^{-1},,Convergenţa lentilei (putere optică),the convergence of the lens (optical power),https://en.wikipedia.org/wiki/Lens
,,o,f,1/C,1/C,,,distanta focală a lentilei,focal distance of the lens,https://en.wikipedia.org/wiki/Lens
,,m,x_CM,(m_1*x_1 + m_2*x_2) / (m_1 + m_2),(m_1*x_1 + m_2*x_2) / (m_1 + m_2),m,,Coordonatele centrului de masă al unui sistem de două particule (puncte materiale),coordinates of the center of mass of a system of two particles (material points),
,,m,y_CM,(m_1*y_1 + m_2*y_2) / (m_1 + m_2),(m_1*y_1 + m_2*y_2) / (m_1 + m_2),m,,Coordonatele centrului de masă al unui sistem de două particule (puncte materiale),coordinates of the center of mass of a system of two particles (material points),
,,m,z_CM,(m_1*z_1 + m_2*z_2) / (m_1 + m_2),(m_1*z_1 + m_2*z_2) / (m_1 + m_2),m,,Coordonatele centrului de masă al unui sistem de două particule (puncte materiale),coordinates of the center of mass of a system of two particles (material points),
,,m,"x_CM, y_CM, z_CM",,,,,coordonatele centrului de masa,coordinates of the center of mass  ,https://en.wikipedia.org/wiki/Center_of_mass
,,m,"x_1, y_1, z_1",,,,,coordonatele particulei 1,coordinates of the particle 1,https://en.wikipedia.org/wiki/Coordinate_system
,,m,"x_2, y_2, z_2",,,,,coordonatele particulei 2,coordinates of the particle 1,https://en.wikipedia.org/wiki/Coordinate_system
,,m,m_1,,,,,masa particulei 1,1 particle mass,https://en.wikipedia.org/wiki/Effective_mass_(solid-state_physics)
,,m,m_2,,,,,masa particulei 2,2 particle mass,https://en.wikipedia.org/wiki/Effective_mass_(solid-state_physics)
,,m,x_C,(G_1*x_1 + G_2*x_2) / (G_1 + G_2),(G_1*x_1 + G_2*x_2) / (G_1 + G_2),m,,Coordonatele centrului de greutate al unui sistem de două particule (puncte materiale),coordinates of the center of weight of a system of two particles (material points),
,,m,y_C,(G_1*y_1 + G_2*y_2) / (G_1 + G_2),(G_1*y_1 + G_2*y_2) / (G_1 + G_2),m,,Coordonatele centrului de greutate al unui sistem de două particule (puncte materiale),coordinates of the center of weight of a system of two particles (material points),
,,m,z_C,(G_1*z_1 + G_2*z_2) / (G_1 + G_2),(G_1*z_1 + G_2*z_2) / (G_1 + G_2),m,,Coordonatele centrului de greutate al unui sistem de două particule (puncte materiale),coordinates of the center of weight of a system of two particles (material points),
,,m,"x_C, y_C, z_C",,,,,coordonatele centrului de greutate,coordinates of the center of weight  ,https://en.wikipedia.org/wiki/Weight
,,m,"x_1, y_1, z_1",,,,,coordonatele particulei 1,coordinate of the particle 1,https://en.wikipedia.org/wiki/Coordinate_system
,,m,"x_2, y_2, z_2",,,,,coordonatele particulei 2,coordinate of the particle 2,https://en.wikipedia.org/wiki/Coordinate_system
,,m,"G_1 , G_2",,,,,greutăţile particulelor,weights of the particles,https://en.wikipedia.org/wiki/Weight
,,m,Q_V,{Delta m} / {Delta t},{\Delta m} / {\Delta t},kg * s^{-1},,Debit de masă,mass flow,https://en.wikipedia.org/wiki/Mass_flow
,,m,Delta m,,,,,masa de fluid care străbate o arie ,the mass of the fluid crossing thru an area,https://en.wikipedia.org/wiki/Mass
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time
,,m,Q_V,{Delta V} / {Delta t},{\Delta V} / {\Delta t},m^3 * s^{-1},,Debit de volum ,volume flow,https://en.wikipedia.org/wiki/Volumetric_flow_rate
,,m,Delta V,,,,,volumul de fluid care străbate o arie,the volume of the fluid crossing thru an area,https://en.wikipedia.org/wiki/Volumetric_flow_rate
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time
,,"o,m,r",Delta varphi,varphi_2 - varphi_1,\varphi_2 - \varphi_1,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift
,,"o,m,r",Delta varphi,2 * k * pi,2 * k * \pi,rad,,oscilaţie în concordanţă de fază (în fază),oscillating in phase (in phase),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift
,,"o,m,r",Delta varphi,(2 * k + 1) * pi,(2 * k + 1) * \pi,rad,,oscilaţie în opoziţie de fază,oscillating in phase opposition,https://en.wikipedia.org/wiki/Oscillation
,,"o,m,r",Delta varphi,(2 * k + 1) * pi/2,(2 * k + 1) * \pi/2,rad,,oscilaţie în cuadratură,oscillation in quadrature,https://en.wikipedia.org/wiki/Oscillation
,,"o,m,r",Delta varphi,( 2 * pi)/lambda *delta,( 2 * \pi)/\lambda * \delta,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift
,,"o,m,r",Delta varphi,omega * Delta t,\omega * \Delta t,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift
,,"o,m,r","varphi_2,varphi_1",,,rad,,fazele (unghiurile de fază) a două oscilaţii,phases (phase angles) of the two oscillations,https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift
,,"o,m,r",omega,,,,,pulsaţia,pulsation,https://en.wikipedia.org/wiki/Pulse_(disambiguation)
,,"o,m,r",Delta t,,,,,diferenţa de timp dintre două oscilaţii,time difference between two oscillations,https://en.wikipedia.org/wiki/Oscillation
,,"o,m,r",lambda,,,,,lungimea de undă ,wavelength,https://en.wikipedia.org/wiki/Wavelength
,,"o,m,r",delta,,,,,diferenţa de drum dintre două oscilaţii,the path difference between two oscillations,https://en.wikipedia.org/wiki/Oscillation
,,"m,t",rho,m/V,m/V,kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",rho,rho_0 / (1 + gamma * Delta T),\rho_0 / (1 + \gamma * \Delta T),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",rho,rho_0 / (1 + gamma * t),\rho_0 / (1 + \gamma * t),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",rho,(p * mu) / (R * T),(p * \mu) / (R * T),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",rho,rho_0 * p/p_0 * T_0/T,\rho_0 * p/p_0 * T_0/T,kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",rho,mu / ((4 * pi)/3 * r_a^3 * N_A),\mu / ((4 * \pi)/3 * r_a^3 * N_A),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density
,,"m,t",m,,,kg,,masa corpului,mass,https://en.wikipedia.org/wiki/Mass
,,"m,t",V,,,m^3,,volumul corpului,body volume,https://en.wikipedia.org/wiki/Volume
,,"m,t",rho_0,,,kg * m^{-3},,"densitatea corpului la 0°C (273,15 K)",body density at 0 ° C (273.15 K),https://en.wikipedia.org/wiki/Density
,,"m,t",gamma,,,,,coeficient de dilatare termică in volum,coefficient of thermal expansion in volume,https://en.wikipedia.org/wiki/Thermal_expansion
,,"m,t",Delta T,,,K,,variaţia temperaturii termodinamice (absolute),variation of the thermodynamic temperature (absolute),https://en.wikipedia.org/wiki/Thermodynamic_temperature
,,"m,t",t,,,,,temperatura exprimată în °C,temperature expressed in ° C,https://en.wikipedia.org/wiki/Temperature
,,"m,t",p,,,Pa,,presiunea gazului ideal,ideal gas pressure,https://en.wikipedia.org/wiki/Ideal_gas
,,"m,t",mu,,,kg,,masa unui mol de gaz ideal,the mass of a mole of ideal gas,https://en.wikipedia.org/wiki/Ideal_gas
,,"m,t",R,,,,,constanta universală a gazelor perfecte,the constant of the universal perfect gas ,https://en.wikipedia.org/wiki/Ideal_gas
,,"m,t",T,,,,,temperatura termodinamică a gazului (absolută),thermodynamic temperature of the gas (absolute),https://en.wikipedia.org/wiki/Thermodynamic_temperature
,,"m,t",T_0,,,,,temperatura normală,normal temperature,https://en.wikipedia.org/wiki/Temperature
,,"m,t",p_0,,,Pa,,presiunea normală,normal pressure,https://en.wikipedia.org/wiki/Pressure
,,"m,t",rho,,,,,densitatea unui corp solid,the density of a solid body,https://en.wikipedia.org/wiki/Density
,,"m,t",mu,,,kg,,masa unui mol,the mass of a mole,https://en.wikipedia.org/wiki/Mass
,,"m,t",r_a,,,m,,raza atomului,atomic radius,https://en.wikipedia.org/wiki/Atomic_radius
,,"m,t",N_A,,,,,numărul lui Avogadro,Avogadro's number,https://en.wikipedia.org/wiki/Avogadro_constant
,,m,j,I / S,I / S,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density
,,m,vec j,sigma * vec E,\sigma * \vec E,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density
,,m,vec j,q * n * vec v,q * n * \vec v,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density
,,m,I,,,,,intensitatea curentului electric,electric current intensity,https://en.wikipedia.org/wiki/Current_density
,,m,S,,,,,aria secţiunii transversale,cross sectional area,https://en.wikipedia.org/wiki/Cross_section_(geometry)
,,m,sigma,,,,,conductivitatea,conductivity,https://en.wikipedia.org/wiki/Electrical_resistivity_and_conductivity
,,m,vec E,,,,,intensitatea câmpului electric,electric field strength,https://en.wikipedia.org/wiki/Electric_field
,,m,q,,,,,sarcina unei particule,a particle load,
,,m,n,,,,,numărul purtătorilor de sarcină din unitatea de volum,the number of charge carriers per unit volume,
,,m,vec v,,,,,viteza medie a purtătorilor de sarcină,the average velocity of the charge carriers,https://en.wikipedia.org/wiki/Velocity
,,"e,o,r",omega,(Delta W) / (Delta V),(\Delta W) / (\Delta V),J * m^{-3},,Densitatea volumică instantanee a energiei undei electromagnetice,instantaneous volume density of the electromagnetic energy,
,,"e,o,r",Delta W,,,,,energia care se află în ΔV,the energy stand in ΔV,https://en.wikipedia.org/wiki/Energy
,,"e,o,r",Delta V,,,,,elementul de volum (volum mic),volume element (small volume),https://en.wikipedia.org/wiki/Volume
,,"e,o,r",omega,(epsilon * E^2)/2,(\epsilon * E^2)/2,J * m^{-3},,Densitatea volumică de energie a câmpului electrostatic (condensator plan),instantaneous volume density of the electrostatic field (plan capacitor),
,,"e,o,r",epsilon,,,,,permitivitatea electrică,electrical permittivity,https://en.wikipedia.org/wiki/Permittivity
,,"e,o,r",E,,,,,modulul intensităţii câmpului electric,electric field intensity module,https://en.wikipedia.org/wiki/Electric_field
,,"e,o,r",omega,(B^2) / (2 * mu),(B^2) / (2 * \mu),J * m^{-3},,Densitatea volumică de energie a câmpului magnetic,volumetric energy density of magnetic field,https://en.wikipedia.org/wiki/Magnetic_field
,,"e,o,r",mu,,,,,permeabilitatea magnetică,the magnetic permeability,https://en.wikipedia.org/wiki/Permeability_(electromagnetism)
,,"e,o,r",B,,,,,modulul inducţiei magnetice,magnetic induction module,https://en.wikipedia.org/wiki/Electromagnetic_induction
,,"e,o,r",omega,(epsilon * E^2)/2 + (B^2) / (2 * mu),(\epsilon * E^2)/2 + (B^2) / (2 * \mu),J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,
,,"e,o,r",omega,epsilon * E^2,\epsilon * E^2,J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,
,,"e,o,r",omega,(B^2) / (mu),(B^2) / (\mu),J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,
,,"e,o,r",bar omega,(epsilon * E_0^2) / 2,(\epsilon * E_0^2) / 2,J * m^{-3},,Densitatea volumică medie (în timp) a energiei electromagnetice în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,
,,"e,o,r",bar omega,(B_0^2) / (2 * mu),(B_0^2) / (2 * \mu),J * m^{-3},,Densitatea volumică medie (în timp) a energiei electromagnetice în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,
,,"e,o,r",B_0,,,,,amplitudinea intensităţii câmpului magnetic ,the amplitude of the magnetic field strength,https://en.wikipedia.org/wiki/Amplitude
,,"e,o,r",E_0,,,,,amplitudinea intensitatii câmpului electric,the amplitude of the magnetic field strength,https://en.wikipedia.org/wiki/Amplitude
,,e,y,1/2 * q/m * U/d * 1/v_0^2 * x_l * (x_l + D),1/2 * q/m * U/d * 1/v_0^2 * x_l * (x_l + D),m,,Deviaţia particulelor încărcate în câmp electric,the deviation of the charged particles in an electric field,
,,e,q,,,,,sarcina electrică,the electric charge,https://en.wikipedia.org/wiki/Electric_charge
,,e,m,,,,,masa particulei,particle mass,https://en.wikipedia.org/wiki/Mass
,,e,U,,,,,tensiunea electrică,electric tension,https://en.wikipedia.org/wiki/Voltage
,,e,d,,,,,distanţa între armăturile condensatorului plan,the distance between the plan capacitor plates ,
,,e,v,,,,,viteza particulei la intrarea în câmp electric,the velocity of the particle at the enter of the electric field,
,,e,x_l,,,,,lungimea condensatorului plan,the length of the plan capacitor,https://en.wikipedia.org/wiki/Capacitor
,,e,D,,,,,distanţa dintre condensator şi ecran,the distance between the condenser and the screen,https://en.wikipedia.org/wiki/Condenser_(optics)
,,m,Delta t,(Delta t_s) / sqrt(1 - v_2/c^2),(\Delta t_s) / \sqrt(1 - v_2/c^2),s,,intervalul de timp în sistemul SI din dilatarea duratei conform teoriei relativităţii restrânse,time interval in SI system from the time interval dilatation according to the theorem of limited relativity,
